Txn Hash,Method,Block,Age,From,Action,To,Value,Fee,Date
0x1b7f69194a5b4700dc0509e1f011c11c7c106524a98f31e9c4728679f9e35534,Swap,38936145,259 days 8 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,KyberSwap: Meta Aggregation Router v2,0 MATIC,0.02544906,2023-02-05 07:49:15.633990
0x1642c2ea311d09c6e5a483e8ee261896493321a04456fb47566eefbaddafc9a8,Approve,38936139,259 days 8 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Circle: USDC.e Token,0 MATIC,0.00685698,2023-02-05 07:49:15.633990
0x769cfa69e8aca7739fe3d36c0e7a264d6752045e963ae48b20bf69ccee9bb69f,Transfer,38936083,259 days 8 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,0xc0039f23960e46ccb94e7bd8fce2b419770d299a,1 MATIC,0.002247,2023-02-05 07:49:15.633990
0x27d3c40969ae6612859be5a8795ecaadb686b8aa1e12c332da89918b51856b52,Fulfill Basic Or...,38911448,259 days 23 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,0xcbbecf690e030d096794f7685a1bf4a58378a575,0 MATIC,0.02107376,2023-02-04 16:49:15.633990
0x10ab52f2df4dbb20498417a397b3352ac772e4a21c02940c28556c69e99fa57e,Fulfill Basic Or...,38911391,259 days 23 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,0xcbbecf690e030d096794f7685a1bf4a58378a575,0 MATIC,0.01592932,2023-02-04 16:49:15.633990
0xaafe326f324d834df8f5f0f9838c7914e8fa6ebfb2445ece4b861a421906713e,Approve,38911245,259 days 23 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Circle: USDC.e Token,0 MATIC,0.00627458,2023-02-04 16:49:15.633990
0xf53dcd7ce008b664af584c52fb9d7b46f5d73ff35ecba8dbdafa5a3df5227603,Approve,38911215,259 days 23 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Circle: USDC.e Token,0 MATIC,0.00631908,2023-02-04 16:49:15.633990
0xe21a46bf484fd2f2e0fa45b82306d3e5d06f54e51c65f988e99897837b9c63fa,Transfer,38108298,280 days 6 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Circle: USDC.e Token,0 MATIC,0.0028843,2023-01-15 09:49:15.633990
0x1920503e15798891b5a6e4cf5e289a661a15117c69e35cb447e58a78a3874199,Swap,38108274,280 days 6 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,0x1111111254fb6c44bac0bed2854e76f90643097d,0 MATIC,0.01242543,2023-01-15 09:49:15.633990
0x3b6878bc3dbcdf40480e4a548393b235bd42adffa45d621a103eabc8e6d21edd,Approve,38108268,280 days 6 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Aavegotchi: GHST Token,0 MATIC,0.00216689,2023-01-15 09:49:15.633990
